Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,Provider_URL,is_Provider,Provider
3662 RFixed C,DVB-S28PSK152853/4T2-MIPLP 0,,RTRS 1,,,,7.9,,N Stanislav220522,https://www.lyngsat.com/providers/ru/RTRS-1.html,True,RTRS 1
3662 RFixed C,DVB-S28PSK152853/4T2-MIPLP 0,,RTRS 1,,,,7.9,,N Stanislav220522,https://www.lyngsat.com/providers/ru/RTRS-1.html,True,RTRS 1
3714 RFixed C,DVB-S28PSK152853/4T2-MIPLP 0,,RTRS 1,,,,7.9,,N Stanislav220522,https://www.lyngsat.com/providers/ru/RTRS-1.html,True,RTRS 1
3714 RFixed C,DVB-S28PSK152853/4T2-MIPLP 0,,RTRS 1,,,,7.9,,N Stanislav220522,https://www.lyngsat.com/providers/ru/RTRS-1.html,True,RTRS 1
3662 RFixed C,DVB-S28PSK152853/4T2-MIPLP 0,1010.0,Perviy kanal (+9h),,MPEG-4/SD,1011.0,1012 Rus,GoSTcrypt,,,False,RTRS 1
3662 RFixed C,DVB-S28PSK152853/4T2-MIPLP 0,1030.0,Match!,,MPEG-4/SD,1031.0,1032 Rus,GoSTcrypt,,,False,RTRS 1
3714 RFixed C,DVB-S28PSK152853/4T2-MIPLP 0,1030.0,Match!,,MPEG-4/SD,1031.0,1032 Rus,GoSTcrypt,,,False,RTRS 1
3662 RFixed C,DVB-S28PSK152853/4T2-MIPLP 0,1040.0,NTV (+9h),,MPEG-4/SD,1041.0,1042 Rus,,,,False,RTRS 1
3662 RFixed C,DVB-S28PSK152853/4T2-MIPLP 0,1050.0,5 Kanal (+9h),,MPEG-4/SD,1051.0,1052 Rus,,,,False,RTRS 1
3662 RFixed C,DVB-S28PSK152853/4T2-MIPLP 0,1060.0,Rossiya K (+9h),,MPEG-4/SD,1061.0,1062 Rus,,,,False,RTRS 1
3662 RFixed C,DVB-S28PSK152853/4T2-MIPLP 0,1080.0,Karusel (+9h),,MPEG-4/SD,1081.0,1082 Rus,,,,False,RTRS 1
3662 RFixed C,DVB-S28PSK152853/4T2-MIPLP 0,1100.0,TV Centr Dal'nii Vostok,,MPEG-4/SD,1101.0,1102 Rus,,,,False,RTRS 1
3714 RFixed C,DVB-S28PSK152853/4T2-MIPLP 0,1100.0,TV Centr Dal'nii Vostok,,MPEG-4/SD,1101.0,1102 Rus,,,,False,RTRS 1
3662 RFixed C,DVB-S28PSK152853/4T2-MIPLP 0,1110.0,Vesti FM,,,,1111 Rus,,,,False,RTRS 1
3714 RFixed C,DVB-S28PSK152853/4T2-MIPLP 0,1110.0,Vesti FM,,,,1111 Rus,,,,False,RTRS 1
3662 RFixed C,DVB-S28PSK152853/4T2-MIPLP 0,1120.0,Radio Mayak,,,,1122 Rus,,,,False,RTRS 1
3714 RFixed C,DVB-S28PSK152853/4T2-MIPLP 0,1120.0,Radio Mayak,,,,1122 Rus,,,,False,RTRS 1
