Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,Provider_URL
3675 RFixed C,DVB-S28PSK51203/4T2-MIPLP 1,,RTRS Yakutia,,,,7.9,,N Stanislav220612,https://www.lyngsat.com/providers/ru/RTRS-Yakutia.html
3675 RFixed C,DVB-S28PSK51203/4T2-MIPLP 1,1020,Rossiya 1 (+7h),,MPEG-4/SD,1021,1022 Rus,GoSTcrypt,,
3675 RFixed C,DVB-S28PSK51203/4T2-MIPLP 1,1070,Rossiya 24,,MPEG-4/SD,1071,1072 Rus,,,
3675 RFixed C,DVB-S28PSK51203/4T2-MIPLP 1,1090,OTR,,MPEG-4/SD,1091,1092 Rus,,,
3675 RFixed C,DVB-S28PSK51203/4T2-MIPLP 1,1130,Radio Rossii (+7h),,,,1132 Rus,,,
3688 RFixed C,DVB-S28PSK152843/4T2-MIPLP 0,,RTRS 1,,,,7.9,,N Stanislav220515,https://www.lyngsat.com/providers/ru/RTRS-1.html
3688 RFixed C,DVB-S28PSK152843/4T2-MIPLP 0,1010,Perviy kanal (+7h),,MPEG-4/SD,1011,1012 Rus,GoSTcrypt,,
3688 RFixed C,DVB-S28PSK152843/4T2-MIPLP 0,1030,Match!,,MPEG-4/SD,1031,1032 Rus,GoSTcrypt,,
3688 RFixed C,DVB-S28PSK152843/4T2-MIPLP 0,1040,NTV (+7h),,MPEG-4/SD,1041,1042 Rus,,,
3688 RFixed C,DVB-S28PSK152843/4T2-MIPLP 0,1050,5 Kanal (+7h),,MPEG-4/SD,1051,1052 Rus,,,
3688 RFixed C,DVB-S28PSK152843/4T2-MIPLP 0,1060,Rossiya K (+7h),,MPEG-4/SD,1061,1062 Rus,,,
3688 RFixed C,DVB-S28PSK152843/4T2-MIPLP 0,1080,Karusel (+7h),,MPEG-4/SD,1081,1082 Rus,,,
3688 RFixed C,DVB-S28PSK152843/4T2-MIPLP 0,1100,TV Centr Dal'nii Vostok,,MPEG-4/SD,1101,1102 Rus,,,
3688 RFixed C,DVB-S28PSK152843/4T2-MIPLP 0,1110,Vesti FM,,,,1111 Rus,,,
3688 RFixed C,DVB-S28PSK152843/4T2-MIPLP 0,1120,Radio Mayak,,,,1122 Rus,,,
3688 RFixed C,DVB-S28PSK152843/4T2-MIPLP 1,,RTRS,,,,7.9,,N Stanislav220515,https://www.lyngsat.com/providers/ru/RTRS.html
3688 RFixed C,DVB-S28PSK152843/4T2-MIPLP 1,1020,Rossiya 1 (+7h),,MPEG-4/SD,1021,1022 Rus,GoSTcrypt,,
3688 RFixed C,DVB-S28PSK152843/4T2-MIPLP 1,1070,Rossiya 24,,MPEG-4/SD,1071,1072 Rus,,,
3688 RFixed C,DVB-S28PSK152843/4T2-MIPLP 1,1090,OTR,,MPEG-4/SD,1091,1092 Rus,,,
3688 RFixed C,DVB-S28PSK152843/4T2-MIPLP 1,1130,Radio Rossii (+7h),,,,1132 Rus,,,
3705 RRussia C,DVB-S28PSK51203/4T2-MIPLP 1,,RTRS Vladivostok,,,,7.9,,N Stanislav220517,https://www.lyngsat.com/providers/ru/RTRS-Vladivostok.html
3705 RRussia C,DVB-S28PSK51203/4T2-MIPLP 1,1020,Rossiya 1 (+8h),,MPEG-4/SD,1021,1022 Rus,GoSTcrypt,,
3705 RRussia C,DVB-S28PSK51203/4T2-MIPLP 1,1070,Rossiya 24,,MPEG-4/SD,1071,1072 Rus,,,
3705 RRussia C,DVB-S28PSK51203/4T2-MIPLP 1,1090,OTR,,MPEG-4/SD,1091,1092 Rus,,,
3705 RRussia C,DVB-S28PSK51203/4T2-MIPLP 1,1130,Radio Rossii (+8h),,,,1132 Rus,,,
3712 RFixed C,DVB-S28PSK51203/4,,RTRS Khabarovsk,,,,7.9,,N Stanislav220516,https://www.lyngsat.com/providers/ru/RTRS-Khabarovsk.html
3712 RFixed C,DVB-S28PSK51203/4,1,Radio Vostok Rossii,,,,110 Rus,,,
3712 RFixed C,DVB-S28PSK51203/4,2,Radio Vostok Rossii,,,,210 Rus,,,
3712 RFixed C,DVB-S28PSK51203/4T2-MIPLP 1,,RTRS Khabarovsk,,,,7.9,,N Stanislav220516,https://www.lyngsat.com/providers/ru/RTRS-Khabarovsk.html
3712 RFixed C,DVB-S28PSK51203/4T2-MIPLP 1,1020,Rossiya 1 (+8h),,MPEG-4/SD,1021,1022 Rus,GoSTcrypt,,
3712 RFixed C,DVB-S28PSK51203/4T2-MIPLP 1,1070,Rossiya 24,,MPEG-4/SD,1071,1072 Rus,,,
3712 RFixed C,DVB-S28PSK51203/4T2-MIPLP 1,1090,OTR,,MPEG-4/SD,1091,1092 Rus,,,
3712 RFixed C,DVB-S28PSK51203/4T2-MIPLP 1,1130,Radio Rossii (+8h),,,,1132 Rus,,,
3725 RFixed C,DVB-S28PSK152853/4T2-MIPLP 0,,RTRS 2,,,,7.9,,N Stanislav220516,https://www.lyngsat.com/providers/ru/RTRS-2.html
3725 RFixed C,DVB-S28PSK152853/4T2-MIPLP 0,2010,REN TV (+7h),,MPEG-4/SD,2011,2012 Rus,,,
3725 RFixed C,DVB-S28PSK152853/4T2-MIPLP 0,2020,Telekanal Spas,,MPEG-4/SD,2021,2022 Rus,,,
3725 RFixed C,DVB-S28PSK152853/4T2-MIPLP 0,2030,STS (+7h),,MPEG-4/SD,2031,2032 Rus,,,
3725 RFixed C,DVB-S28PSK152853/4T2-MIPLP 0,2040,Domashniy (+7h),,MPEG-4/SD,2041,2042 Rus,,,
3725 RFixed C,DVB-S28PSK152853/4T2-MIPLP 0,2050,TV 3 (+7h),,MPEG-4/SD,2051,2052 Rus,,,
3725 RFixed C,DVB-S28PSK152853/4T2-MIPLP 0,2060,Pyatnitsa! (+7h),,MPEG-4/SD,2061,2062 Rus,,,
3725 RFixed C,DVB-S28PSK152853/4T2-MIPLP 0,2070,Telekanal Zvezda (+7h),,MPEG-4/SD,2071,2072 Rus,,,
3725 RFixed C,DVB-S28PSK152853/4T2-MIPLP 0,2080,Mir (+7h),,MPEG-4/SD,2081,2082 Rus,,,
3725 RFixed C,DVB-S28PSK152853/4T2-MIPLP 0,2090,TNT (+7h),,MPEG-4/SD,2091,2092 Rus,,,
3725 RFixed C,DVB-S28PSK152853/4T2-MIPLP 0,2100,Muz TV (+7h),,MPEG-4/SD,2101,2102 Rus,,,
3765 RFixed C,DVB-S28PSK51203/4T2-MIPLP 1,,RTRS Blagoveshchensk,,,,7.9,,N Stanislav220516,https://www.lyngsat.com/providers/ru/RTRS-Blagoveshchensk.html
