SID,Provider/Channel,Compression,VPID,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL,is_Provider,Provider,FEC,SR,SYSTEM,Languages,Channel_Country
,GCI,,,3940 H,tp 12,0.0,PowerVu,https://www.lyngsat.com/providers/us/GCI.html,,,True,GCI,5/6,30000.0,DVB-S2,,
,GCI,,,3940 H,tp 12,0.0,PowerVu,https://www.lyngsat.com/providers/us/GCI.html,,,True,GCI,5/6,30000.0,DVB-S2,,
,GCI,,,3980 H,tp 14,0.0,PowerVu,https://www.lyngsat.com/providers/us/GCI.html,,,True,GCI,5/6,30000.0,DVB-S2,,
,GCI,,,3980 H,tp 14,0.0,PowerVu,https://www.lyngsat.com/providers/us/GCI.html,,,True,GCI,5/6,30000.0,DVB-S2,,
1.0,KTUU-TV (NBC - Anchorage),MPEG-4/SD,401.0,3940 H,tp 12,0.0,PowerVu,,KTUU-TV (NBC - Anchorage),https://www.lyngsat.com/tvchannels/us/KTUU-TV.html,False,GCI,5/6,30000.0,DVB-S2,Eng,us
1.0,KTUU-TV (NBC - Anchorage),MPEG-4/SD,401.0,3940 H,tp 12,0.0,PowerVu,,KTUU-TV (NBC - Anchorage),https://www.lyngsat.com/tvchannels/us/KTUU-TV.html,False,GCI,5/6,30000.0,DVB-S2,Eng,us
2.0,KTBY-TV (Fox - Anchorage),MPEG-4/SD,201.0,3940 H,tp 12,0.0,PowerVu,,KTBY-TV (Fox - Anchorage),https://www.lyngsat.com/tvchannels/us/KTBY-TV.html,False,GCI,5/6,30000.0,DVB-S2,Eng,us
3.0,KAUU-DT 4 (My - Anchorage),MPEG-4/SD,301.0,3940 H,tp 12,0.0,PowerVu,,KAUU-DT 4 (My - Anchorage),https://www.lyngsat.com/tvchannels/us/KAUU-DT-4.html,False,GCI,5/6,30000.0,DVB-S2,Eng,us
5.0,KAUU-TV (CBS - Anchorage),MPEG-4/SD,101.0,3940 H,tp 12,0.0,PowerVu,,KAUU-TV (CBS - Anchorage),https://www.lyngsat.com/tvchannels/us/KAUU-TV.html,False,GCI,5/6,30000.0,DVB-S2,Eng,us
6.0,KYUR-TV (ABC - Anchorage),MPEG-4/SD,501.0,3940 H,tp 12,0.0,PowerVu,,KYUR-TV (ABC - Anchorage),https://www.lyngsat.com/tvchannels/us/KYUR-TV.html,False,GCI,5/6,30000.0,DVB-S2,Eng,us
7.0,This TV,MPEG-4/SD,701.0,3940 H,tp 12,0.0,PowerVu,,This TV,https://www.lyngsat.com/tvchannels/us/This-TV.html,False,GCI,5/6,30000.0,DVB-S2,Eng,us
8.0,KTOO 360 TV,MPEG-4/SD,601.0,3940 H,tp 12,0.0,PowerVu,,KTOO 360 TV,https://www.lyngsat.com/tvchannels/us/KTOO-360-TV.html,False,GCI,5/6,30000.0,DVB-S2,Eng,us
101.0,History West,MPEG-4/SD,801.0,3940 H,tp 12,0.0,PowerVu,,History West,https://www.lyngsat.com/tvchannels/us/History-West.html,False,GCI,5/6,30000.0,DVB-S2,Eng,us
102.0,USA Network West,MPEG-4/SD,901.0,3940 H,tp 12,0.0,PowerVu,,USA Network West,https://www.lyngsat.com/tvchannels/us/USA-Network-West.html,False,GCI,5/6,30000.0,DVB-S2,Eng,us
103.0,ESPN US,MPEG-4/SD,1001.0,3940 H,tp 12,0.0,PowerVu,,ESPN US,https://www.lyngsat.com/tvchannels/us/ESPN-US.html,False,GCI,5/6,30000.0,DVB-S2,Eng,us
104.0,ESPN 2 US,MPEG-4/SD,1101.0,3940 H,tp 12,0.0,PowerVu,,ESPN 2 US,https://www.lyngsat.com/tvchannels/us/ESPN-2-US.html,False,GCI,5/6,30000.0,DVB-S2,Eng,us
105.0,TNT West,MPEG-4/SD,1201.0,3940 H,tp 12,0.0,PowerVu,,TNT West,https://www.lyngsat.com/tvchannels/us/TNT-West.html,False,GCI,5/6,30000.0,DVB-S2,Eng,us
106.0,Discovery Channel West,MPEG-4/SD,1301.0,3940 H,tp 12,0.0,PowerVu,,Discovery Channel West,https://www.lyngsat.com/tvchannels/us/Discovery-Channel-West.html,False,GCI,5/6,30000.0,DVB-S2,Eng,us
106.0,Discovery Channel West,MPEG-4/SD,1301.0,3940 H,tp 12,0.0,PowerVu,,Discovery Channel West,https://www.lyngsat.com/tvchannels/us/Discovery-Channel-West.html,False,GCI,5/6,30000.0,DVB-S2,Eng,us
6.0,Discovery Channel West,MPEG-4/HD,97.0,4180 H,tp 24,0.0,Digicipher,,Discovery Channel West,https://www.lyngsat.com/tvchannels/us/Discovery-Channel-West.html,False,GCI,3/4,30000.0,DVB-S2,Eng Spa,us
6.0,Discovery Channel West,MPEG-4/HD,97.0,4180 H,tp 24,0.0,Digicipher,,Discovery Channel West,https://www.lyngsat.com/tvchannels/us/Discovery-Channel-West.html,False,GCI,3/4,30000.0,DVB-S2,Eng Spa,us
107.0,HLN,MPEG-4/SD,1401.0,3940 H,tp 12,0.0,PowerVu,,HLN,https://www.lyngsat.com/tvchannels/us/HLN.html,False,GCI,5/6,30000.0,DVB-S2,Eng,us
108.0,HGTV West,MPEG-4/SD,1501.0,3940 H,tp 12,0.0,PowerVu,,HGTV West,https://www.lyngsat.com/tvchannels/us/HGTV-West.html,False,GCI,5/6,30000.0,DVB-S2,Eng,us
109.0,TBS West,MPEG-4/SD,1601.0,3940 H,tp 12,0.0,PowerVu,,TBS West,https://www.lyngsat.com/tvchannels/us/TBS-West.html,False,GCI,5/6,30000.0,DVB-S2,Eng,us
1002.0,KAKM-TV (PBS - Anchorage),MPEG-4/SD,1801.0,3940 H,tp 12,0.0,PowerVu,,KAKM-TV (PBS - Anchorage),https://www.lyngsat.com/tvchannels/us/KAKM-TV.html,False,GCI,5/6,30000.0,DVB-S2,Eng,us
1003.0,First Nations Experience,MPEG-4/SD,1901.0,3940 H,tp 12,0.0,PowerVu,,First Nations Experience,https://www.lyngsat.com/tvchannels/us/First-Nations-Experience.html,False,GCI,5/6,30000.0,DVB-S2,Eng,us
1004.0,Outdoor Channel,MPEG-4/SD,2001.0,3940 H,tp 12,0.0,PowerVu,,Outdoor Channel,https://www.lyngsat.com/tvchannels/us/Outdoor-Channel.html,False,GCI,5/6,30000.0,DVB-S2,Eng,us
1005.0,Sportsman Channel,MPEG-4/SD,2101.0,3940 H,tp 12,0.0,PowerVu,,Sportsman Channel,https://www.lyngsat.com/tvchannels/us/Sportsman-Channel.html,False,GCI,5/6,30000.0,DVB-S2,Eng,us
1009.0,People TV (USA),MPEG-4/SD,2601.0,3940 H,tp 12,0.0,PowerVu,,People TV (USA),https://www.lyngsat.com/tvchannels/us/People-TV.html,False,GCI,5/6,30000.0,DVB-S2,Eng,us
1011.0,ION Mystery,MPEG-4/SD,2701.0,3940 H,tp 12,0.0,PowerVu,,ION Mystery,https://www.lyngsat.com/tvchannels/us/ION-Mystery.html,False,GCI,5/6,30000.0,DVB-S2,Eng,us
1012.0,Court TV,MPEG-4/SD,2801.0,3940 H,tp 12,0.0,PowerVu,,Court TV,https://www.lyngsat.com/tvchannels/us/Court-TV.html,False,GCI,5/6,30000.0,DVB-S2,Eng,us
1012.0,Court TV,MPEG-4/SD,2801.0,3940 H,tp 12,0.0,PowerVu,,Court TV,https://www.lyngsat.com/tvchannels/us/Court-TV.html,False,GCI,5/6,30000.0,DVB-S2,Eng,us
